message,is_toxic
this and below asignments also should be removed,0
this should be flavor id self flavor id,0
bol sesion adopted false,0
nit starting c 1 this could be done directly in the declaration bol have token false,0
i am confused this is the tar proces we are checking if it has exited why do we ned to kil it it is already dead we already check the exit code in finish subproces,0
yuck use 70s which wil do this more gracefuly,1
use mock thread instance mock magicmock isalive mock magicmock return value false remove l69,0
skrect local bounds gfx rectoskrect getlocalbounds,0
worse how does setuptols clif even do that with the maping in place,0
so you have rename fields to obj fields because of here right,0
unfinished docstring,0
this exec ipmitol method wil atempt 3 times l101 if the comand fail so for our validate method that is no ned to have try with 3 times so how do you think if we ad new parameter for exec ipmitol method default is 3 as below def exec ipmitol driver info comand atempts 3 so we just cal it with atempts 1 here for validation action exec ipmitol driver info mc info atempts 1,0
remove the white space here,0
nit get instead of compute we are not computing anything,0
this is useles if you use a bolean,0
inded mpu protect ram already did the same thing in comom system c i think this part is useles,0
oh stupid me al i did was make it dereference invalid pieces of memory if the adreses are to big i did manualy test this and i found the expected partition size unfortunately neither storm nor any of our other upcoming brilo devices have nand big enough to triger this proto 0 2 s nand is 8gb that s gigabits and al the production devices wil be much smaler,0
instead of wrap delimiter utils wrap delimiter should be used for al wrap delimiter cals below they should be replaced by utils wrap delimiter,0
you have deleted prepare test,0
remove vmax,0
checking the reg page count register is more reliable raising an exception skips the folowing stopdumpingtomemory cal meaning that the audio continues to dump,0
no the internal is for services spliting on ports is a dumb way to do security but we are stuck with it for now,0
but you stil have the data used as nul terminated string below stringpiece data generaly does not guarante the terminator kep this as is we wil deal with it later,0
useles braces,0
this one loks to be useles,0
nit validating a request body,0
function keyword is a bashism and imho loks ugly compared to usage,1
this overide sems useles,0
as we are moving to have tenant in headers should we probably kil it from the begining,0
because this fix modify string format from x dumy to x dumy x the original code use instead of then dumy i want to make sure the string is right formated for example original one print 4 s 4 a 4 s 4 a now print 4 s 4 a 4 a 4,0
i think trying to establish this pdata nulptr as a valid state is going down a rat s hole having to adapt al places that read pdata for no benefit se how making operator fulfil the strong guarante which is desirable makes the demand for a this pdata nulptr state not arise,0
it may hapen that a service die a service may die,0
hehe why are you always right i should do some pair programing with you to avoid doing stupid stuf earlier thank you,0
uint8 t constexpr kuninit 0xf,0
should this maybe be caled rotwrap xenapi or rotwrap xen dom0 i am wondering if dom0 is not distinct enough to non xen for them to know to ignore this file,0
for this you would just check the whether the size of entries is 1 another option coul dbe to move the checks to the caler but that might be more clumsy,1
okie dokie we should probably note that in reflection docstring prety sure thats because py2 x is dumb ha,0
useles trailing se the implementation of rand name,0
in the future we should lok into seing if we make this a litle cleaner instead of a crap load of info lines,1
could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch,0
i would like to se a lot of these mocks moved to tests mock mock file py,0
the coment is useles the function is caled validate hash obviously we are validating an hash here,0
what test harnes are you using for this why not use unitest2 it is already instaled and has a consistent interface and output just curious i do not se from this comit how these tests are being executed so i thought i would ask,0
whitespaces should be removed,0
the name is ugly what canot it be openstack ec2 api service,1
al you do in the interupt handler is cal wake up loks like you do not ned a threaded irq,0
lazy lazy,1
must be executed,0
yeah that sucked fixed done,1
i am not sure what you mean by reference eror how about from line 20 if lock file prefix if lock file prefix endswith lock file name s s lock file prefix safe name else lock file name s s lock file prefix safe name else lock file name safe name,0
nit use std make unique here syncedsesionsobserver std make unique synced sesions syncedsesionsobserverbridge self browserstate,0
fake volume id,0
i have a doubt which could be dumb fqdn should be resolved with in the namespace context or the host context in this fix i am asuming it to be host context,0
style is camel case myclientsecret myclientid myrefreshtoken,0
fk should be data sources id,0
